"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ntrk2",49.7259420490619,3.35837288461743,0.694559972687243,4.83525255799572,1.32976693788487e-06,0.0002867239725645
"5330426P16Rik",33.9387790545323,1.66575132474796,0.345215415855569,4.82525185215041,1.39826460967395e-06,0.000293884994294606
"Chchd1",1769.15700141912,-0.544270423081965,0.112884794172159,-4.82146800260722,1.42505582057299e-06,0.000293884994294606
"Hunk",775.132301022907,0.881445926043687,0.182828085951238,4.82117351640808,1.4271614811131e-06,0.000293884994294606
"Gas2l3",1423.33655217055,0.528349155456811,0.10969436350111,4.8165570097999,1.46056449057866e-06,0.000293884994294606
"Sox6",137.569112656497,1.80192428351072,0.374226526453519,4.81506295287842,1.47153492163061e-06,0.000293884994294606
"Aoc2",145.268556424937,-1.2446531282889,0.258539723685273,-4.81416592602244,1.47815955063588e-06,0.000293884994294606
"Gja1",3519.37137757491,1.43973600734682,0.300507127114971,4.79102116867929,1.65934616731899e-06,0.000325678595839569
"Itpr3",3487.285450585,-0.904538736969636,0.190853676809531,-4.73943573993784,2.14314186866055e-06,0.000415308340092713
"Ppp4r4",106.568741721067,1.36940417133168,0.290452489786574,4.71472691570978,2.42035139128802e-06,0.000458198272971612
"Rnf144b",72.9790644450949,-1.58925558838237,0.337205625838521,-4.71301623284133,2.44076745060435e-06,0.000458198272971612
"Pld6",336.654578282751,-1.0513309213444,0.223122822796418,-4.71189324412438,2.45425948028429e-06,0.000458198272971612
"Ptprtos",340.835822146348,2.18501901221895,0.464037151457047,4.70871568226408,2.49282498600922e-06,0.000459791056756809
"Hacd1",242.210284145255,0.869510312483851,0.184764406177093,4.706048802768,2.52564080705498e-06,0.000460298037085771
"Sept6",1683.42438668543,-1.34256989725704,0.286162353849103,-4.6916370347058,2.7102764397672e-06,0.000485119708017586
"D8Ertd82e",555.059237104288,-1.72326011637504,0.367392700877013,-4.69051266468114,2.72521359262606e-06,0.000485119708017586
"Pdk3",2355.02748158532,-0.972893469483702,0.208213020844843,-4.67258707229788,2.97429358062082e-06,0.000523373108341656
"Gltp",3884.30711179306,-0.526838479114898,0.113105196712814,-4.6579511324541,3.19371995876688e-06,0.000546625982144294
"Bpnt1",2326.21583041206,-0.564471498835126,0.12118758104312,-4.65783287343842,3.19555462440228e-06,0.000546625982144294
