"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Iqsec2",337.075174998426,-0.383656127495194,0.28840380298985,-1.33027416253834,0.183427956851588,0.999767434913079
"Eps8l1",66.1819975306924,1.02672505089946,0.771905921668296,1.33011682133547,0.183479784063544,0.999767434913079
"Phf14",2139.83306629486,0.241496860532821,0.1815646933433,1.33008712258942,0.183489567862439,0.999767434913079
"Lvrn",15.4784882064726,-0.930764530820028,0.699783678920377,-1.33007464857713,0.183493677350783,NA
"Eif4a3",11142.9056009083,-0.233140400194984,0.17529616763945,-1.32998001801448,0.183524855041261,0.999767434913079
"Nup62",11345.8171675314,0.323270834882898,0.243203330148105,1.32922042920232,0.183775257019306,0.999767434913079
"Gbp4",61.0177322496752,1.08860865506091,0.81910245699034,1.32902623569319,0.183839314406968,0.999767434913079
"Tmem229b",208.368613680743,-0.400706489037058,0.301507011039458,-1.32901217671724,0.183843952594499,0.999767434913079
"Cep89",1399.14515378877,0.189962806784945,0.142936066142478,1.32900542117615,0.183846181341455,0.999767434913079
"Rbm39",14024.6614724664,0.14531965976785,0.109346552585581,1.32898254523493,0.183853728581203,0.999767434913079
"Sh3gl2",1515.65440436286,-0.335425440919562,0.25241234780017,-1.32887889139684,0.183887928972594,0.999767434913079
"Wdr41",920.805948474181,-0.20871763903043,0.157065652477448,-1.32885602764359,0.183895473459715,0.999767434913079
"Larp6",9.29272849607373,-1.49167278619186,1.12274885928477,-1.32858989243784,0.183983308522501,NA
"C7",55.1261719423284,0.554122268258727,0.417085509057795,1.32855794848999,0.183993853366853,0.999767434913079
"Sfxn4",88.7785172144907,-0.541084491137908,0.407318708077334,-1.32840569413565,0.184044119380686,0.999767434913079
"Prkcb",50.691918038332,-0.521518923408642,0.392700807753637,-1.32803119604435,0.184167801316831,0.999767434913079
"Ldlr",5179.36390415946,-0.21181823772078,0.159543192198563,-1.32765450409916,0.184292269865955,0.999767434913079
"Hsdl1",1099.09364457443,0.296406350221809,0.223282102902441,1.32749712748504,0.184344289520734,0.999767434913079
"Gpr153",101.441368484172,-0.628465108672627,0.473699838682288,-1.3267159018269,0.184602678690685,0.999767434913079
"C1galt1c1",465.08603674346,-0.382205403750803,0.288092159857119,-1.32667756019587,0.184615367022508,0.999767434913079
"Adamtsl5",199.123073385205,0.791843054440648,0.596883146845297,1.32662994193381,0.184631126152892,0.999767434913079
"Tab1",491.938769477084,0.294866405996916,0.222278462803866,1.32656309692541,0.184653250000787,0.999767434913079
"Peak1",1314.1931020218,-0.245596501008295,0.185146351683191,-1.32649927355059,0.18467437560246,0.999767434913079
"Lsm12",3130.52617896281,-0.291816978679369,0.220002617163743,-1.32642503276303,0.184698951628646,0.999767434913079
"Cacnb4",19.8813777882843,-1.1162007525675,0.84154505808934,-1.32637075322116,0.18471692138886,0.999767434913079
"Tnfaip6",18.3199233918813,0.971844525724247,0.732793475902127,1.32621885658552,0.184767215095568,0.999767434913079
"Zcchc24",589.291594255969,-0.438094373685795,0.330354858102159,-1.32613268108901,0.184795752721844,0.999767434913079
"Ndufb10",2847.93675443153,-0.217764356899098,0.164210129245828,-1.32613230316077,0.18479587788264,0.999767434913079
"Ccbl1",309.966724260228,-0.400736073131807,0.302194368459633,-1.3260871642793,0.184810827252162,0.999767434913079
"Ubap1l",267.262978189445,-0.654708242833664,0.493824678479463,-1.32579085526786,0.1849089828928,0.999767434913079
"Prdm16",702.610339527142,0.415673138970352,0.31353429053295,1.32576611720455,0.184917179394428,0.999767434913079
"Rnf208",441.352219355798,-0.235512795376435,0.177643015979195,-1.32576445000245,0.184917731800803,0.999767434913079
"Pycr1",1513.74008733072,-0.48534721052747,0.366093614129719,-1.32574618019831,0.184923785349851,0.999767434913079
"1810041L15Rik",13.7882288990493,1.78011411733819,1.3427622170117,1.32571060965642,0.184935571776428,NA
"Cdcp2",15.1132970652829,1.20711215164257,0.910544832433989,1.32570314897711,0.184938043969777,NA
